# language_name: Tulu
# code: tulu
# iso639: tcy
# script: Kannada
# speakers: 2M
construct_id,native_keyword,romenagri,note
KW_LAMBDA,ಅನಾಮನ್,anaaman,tatsama<sanskrit
KW_YIELD,ದಾ,daa,tatsama<sanskrit
KW_AWAIT,ಪ್ರತೀಕ್ಷ,pratiik_sa,tatsama<sanskrit
KW_ASYNC,ಅಸಮಕಾಲ,asamakaala,tatsama<sanskrit
KW_CLASS,ವರ್ಗ,varga,tatsama<sanskrit
KW_OBJECT,ವಸ್ತು,vastu,tatsama<sanskrit
KW_INTERFACE,ಸನ್ಧಿ,sandhi,tatsama<sanskrit
KW_EXTENDS,ವಿಸ್ತೃತ,vistr_ta,tatsama<sanskrit
KW_IMPLEMENTS,ನಿಷ್ಪಾದಿತ,ni_spaadita,tatsama<sanskrit
KW_NEW,ನೂತನ,nuutana,tatsama<sanskrit
KW_THIS,ಏತತ್,eetat,tatsama<sanskrit
KW_SUPER,ಪರ,para,tatsama<sanskrit
KW_PUBLIC,ಸಾರ್ವಜನಿಕ,saarvajanika,tatsama<sanskrit
KW_PRIVATE,ಗುಪ್ತ,gupta,tatsama<sanskrit
KW_PROTECTED,ರಕ್ಷಿತ,rak_sita,tatsama<sanskrit
KW_STATIC,ಸ್ಥಿರ,sthira,tatsama<sanskrit
KW_ABSTRACT,ಅಮೂರ್ತ,amuurta,tatsama<sanskrit
KW_VIRTUAL,ಆಭಾಸ,aabhaasa,tatsama<sanskrit
KW_OVERRIDE,ಅಧಿರೋಹ,adhirauha,tatsama<sanskrit
KW_MATCH,ಮೇಲ,meela,tatsama<sanskrit
KW_WHEN,ಯದಾ,yadaa,tatsama<sanskrit
KW_FUN,ಫಲ,phala,tatsama<sanskrit
KW_REC,ಪುನರಾವೃತ್ತ,punaraavr_tta,tatsama<sanskrit
KW_IN,ಅನ್ತಃ,anta_h,tatsama<sanskrit
KW_WHERE,ಯತ್ರ,yatra,tatsama<sanskrit
KW_DATA,ದತ್ತ,datta,tatsama<sanskrit
KW_TYPE,ಪ್ರಕಾರ,prakaara,tatsama<sanskrit
KW_MODULE,ಖಣ್ಡ,kha_nda,tatsama<sanskrit
KW_RULE,ಸೂತ್ರ,suutra,tatsama<sanskrit
KW_FACT,ತಥ್ಯ,tathya,tatsama<sanskrit
KW_QUERY,ಪ್ರಶ್ನ,prashna,tatsama<sanskrit
KW_NOT,ನ,na,tatsama<sanskrit
KW_AND,ಚ,ca,tatsama<sanskrit
KW_OR,ವಾ,vaa,tatsama<sanskrit
KW_THREAD,ತನ್ತು,tantu,tatsama<sanskrit
KW_SPAWN,ಉತ್ಪಾದ,utpaada,tatsama<sanskrit
KW_LOCK,ತಾಲಕ,taalaka,tatsama<sanskrit
KW_SYNC,ಸಮಕಾಲ,samakaala,tatsama<sanskrit
KW_CHANNEL,ಮಾರ್ಗ,maarga,tatsama<sanskrit
KW_SELECT,ವೃಣು,vr_nu,tatsama<sanskrit
KW_PTR,ನಿರ್ದೇಶಕ,nirdeeshaka,tatsama<sanskrit
KW_REF,ಸನ್ದರ್ಭ,sandarbha,tatsama<sanskrit
KW_ALLOC,ಆವಣ್ಟನ,aava_ntana,tatsama<sanskrit
KW_FREE,ಮುಕ್ತ,mukta,tatsama<sanskrit
KW_SIZEOF,ಪರಿಮಾಣ,parimaa_na,tatsama<sanskrit
KW_STRUCT,ಸಂರಚನಾ,sa_nracanaa,tatsama<sanskrit
KW_UNION,ಸಙ್ಘ,sa_ngha,tatsama<sanskrit
KW_ENUM,ಗಣನಾ,ga_nanaa,tatsama<sanskrit
KW_TYPEDEF,ಪ್ರಕಾರನಿರ್ದೇಶ,prakaaranirdeesha,tatsama<sanskrit
KW_VOLATILE,ಚಞ್ಚಲ,ca_ncala,tatsama<sanskrit
KW_REGISTER,ಪಞ್ಜಿಕಾ,pa_njikaa,tatsama<sanskrit
KW_EXTERN,ಬಾಹ್ಯ,baahya,tatsama<sanskrit
KW_INLINE,ಅನ್ತಃಸ್ಥ,anta_hstha,tatsama<sanskrit
KW_ENTITY,ಸತ್ತಾ,sattaa,tatsama<sanskrit
KW_ARCH,ಸ್ಥಾಪತ್ಯ,sthaapatya,tatsama<sanskrit
KW_SIGNAL,ಸಙ್ಕೇತ,sa_nkeeta,tatsama<sanskrit
KW_PORT,ದ್ವಾರ,dvaara,tatsama<sanskrit
KW_WIRE,ತನ್ತು,tantu,tatsama<sanskrit
KW_REG,ಪಞ್ಜೀ,pa_njii,tatsama<sanskrit
KW_MODULE_HW,ಅಂಶ,a_nsha,tatsama<sanskrit
KW_ALWAYS,ಸದಾ,sadaa,tatsama<sanskrit
KW_ASSIGN,ನಿಯುಕ್ತ,niyukta,tatsama<sanskrit
KW_BEGIN,ಆರಮ್ಭ,aarambha,tatsama<sanskrit
KW_END,ಅನ್ತ,anta,tatsama<sanskrit
KW_TRY,ಯತ್ನ,yatna,tatsama<sanskrit
KW_CATCH,ಗೃಹಾಣ,gr_haa_na,tatsama<sanskrit
KW_FINALLY,ಅನ್ತತಃ,antata_h,tatsama<sanskrit
KW_THROW,ಕ್ಷಿಪ,k_sipa,tatsama<sanskrit
KW_RAISE,ಉತ್ಥಾಪಯ,utthaapaya,tatsama<sanskrit
KW_EXCEPT,ಅಪವಾದ,apavaada,tatsama<sanskrit
KW_IMPORT,ಆನಯನ,aanayana,tatsama<sanskrit
KW_EXPORT,ನಿರ್ಯಾಪಣ,niryaapa_na,tatsama<sanskrit
KW_PACKAGE,ಪುಟಕ,putaka,tatsama<sanskrit
KW_NAMESPACE,ನಾಮಾಕಾಶ,naamaakaasha,tatsama<sanskrit
KW_USE,ಉಪಯೋಗ,upayauga,tatsama<sanskrit
KW_INCLUDE,ಅನ್ತರ್ಭಾವ,antarbhaava,tatsama<sanskrit
KW_FROM,ತಃ,ta_h,tatsama<sanskrit
KW_AS,ಇವ,iva,tatsama<sanskrit
KW_KERNEL,ಬೀಜ,biija,tatsama<sanskrit
KW_DEVICE,ಯನ್ತ್ರ,yantra,tatsama<sanskrit
KW_HOST,ಆತಿಥೇಯ,aatitheeya,tatsama<sanskrit
KW_GLOBAL,ವೈಶ್ವಿಕ,vaishvika,tatsama<sanskrit
KW_SHARED,ಸಹಭಾಜಿತ,sahabhaajita,tatsama<sanskrit
KW_THREADIDX,ತನ್ತ್ವಙ್ಕ,tantva_nka,tatsama<sanskrit
KW_BLOCKIDX,ಖಣ್ಡಾಙ್ಕ,kha_ndaa_nka,tatsama<sanskrit
KW_GRID,ಜಾಲ,jaala,tatsama<sanskrit
KW_BARRIER,ಅವರೋಧ,avaurudha,tatsama<sanskrit
KW_ATOMIC,ಆಣವಿಕ,aa_navika,tatsama<sanskrit
KW_WARP,ತನ್ತುಸಮೂಹ,tantusamuuha,tatsama<sanskrit
KW_TENSOR,ಪ್ರದಿಶ,pradisha,tatsama<sanskrit
KW_MATRIX,ಆವ್ಯೂಹ,aavyuuha,tatsama<sanskrit
KW_VECTOR,ಸದಿಶ,sadisha,tatsama<sanskrit
KW_GRAD,ಪ್ರವಣತಾ,prava_nataa,tatsama<sanskrit
KW_BACKPROP,ಪ್ರತಿಪ್ರಸಾರ,pratiprasaara,tatsama<sanskrit
KW_FORWARD,ಅಗ್ರಪ್ರಸಾರ,agraprasaara,tatsama<sanskrit
KW_LAYER,ಸ್ತರ,stara,tatsama<sanskrit
KW_MODEL,ಪ್ರತಿಮಾನ,pratimaana,tatsama<sanskrit
KW_TRAIN,ಪ್ರಶಿಕ್ಷಣ,prashik_sa_na,tatsama<sanskrit
KW_INFER,ಅನುಮಾನ,anumaana,tatsama<sanskrit
KW_LOSS,ಹಾನಿ,haani,tatsama<sanskrit
KW_OPTIMIZE,ಅನುಕೂಲನ,anukuulana,tatsama<sanskrit
KW_ACTIVATION,ಸಕ್ರಿಯಣ,sakriya_na,tatsama<sanskrit
KW_WEIGHT,ಭಾರ,bhaara,tatsama<sanskrit
KW_BIAS,ಪಕ್ಷಪಾತ,pak_sapaata,tatsama<sanskrit
KW_EPOCH,ಕಲ್ಪ,kalpa,tatsama<sanskrit
KW_BATCH,ಪುಞ್ಜ,pu_nja,tatsama<sanskrit
KW_DATASET,ದತ್ತಸಮೂಹ,dattasamuuha,tatsama<sanskrit
KW_EMBED,ನಿವೇಶನ,niveeshana,tatsama<sanskrit
KW_ATTENTION,ಅವಧಾನ,avadhaana,tatsama<sanskrit
KW_PIN,ಕೀಲಕ,kiilaka,tatsama<sanskrit
KW_READ,ಪಠ,patha,tatsama<sanskrit
KW_WRITE,ಲಿಖ,likha,tatsama<sanskrit
KW_ANALOG,ಸದೃಶ,sadr_sha,tatsama<sanskrit
KW_DIGITAL,ಅಙ್ಕೀಯ,a_nkiiya,tatsama<sanskrit
KW_PWM,ಸ್ಪನ್ದವಿಸ್ತಾರ,spandavistaara,tatsama<sanskrit
KW_INTERRUPT,ವಿಘ್ನ,vighna,tatsama<sanskrit
KW_TIMER,ಕಾಲಯನ್ತ್ರ,kaalayantra,tatsama<sanskrit
KW_SENSOR,ಸಂವೇದಕ,sa_nveedaka,tatsama<sanskrit
KW_ACTUATOR,ಪ್ರವರ್ತಕ,pravartaka,tatsama<sanskrit
KW_BUS,ಮಾರ್ಗ,maarga,tatsama<sanskrit
KW_PROTOCOL,ನಿಯಮಾವಲೀ,niyamaavalii,tatsama<sanskrit
KW_SLEEP,ಸುಷುಪ್ತಿ,su_supti,tatsama<sanskrit
KW_WAKE,ಜಾಗೃ,jaagr_,tatsama<sanskrit
KW_MOTOR,ಚಾಲಕ,caalaka,tatsama<sanskrit
KW_SERVO,ಅನುಚಾಲಕ,anucaalaka,tatsama<sanskrit
KW_JOINT,ಸನ್ಧಿ,sandhi,tatsama<sanskrit
KW_POSE,ಮುದ್ರಾ,mudraa,tatsama<sanskrit
KW_TRAJECTORY,ಪ್ರಕ್ಷೇಪಪಥ,prak_seepapatha,tatsama<sanskrit
KW_FEEDBACK,ಪ್ರತಿಪುಷ್ಟಿ,pratipu_sti,tatsama<sanskrit
KW_PID,ನಿಯನ್ತ್ರಕ,niyantraka,tatsama<sanskrit
KW_DEADLINE,ಕಾಲಸೀಮಾ,kaalasiimaa,tatsama<sanskrit
KW_PERIODIC,ಆವರ್ತಿಕ,aavartika,tatsama<sanskrit
KW_PRIORITY,ಪ್ರಾಥಮ್ಯ,praathamya,tatsama<sanskrit
KW_ACTUATE,ಪ್ರವರ್ತಯ,pravartaya,tatsama<sanskrit
KW_PERCEIVE,ಪ್ರತ್ಯಕ್ಷ,pratyak_sa,tatsama<sanskrit
KW_PLAN,ಯೋಜನಾ,yaujanaa,tatsama<sanskrit
KW_STREAM,ಧಾರಾ,dhaaraa,tatsama<sanskrit
KW_PIPE,ಪ್ರಣಾಲ,pra_naala,tatsama<sanskrit
KW_MAP,ಪ್ರತಿಚಿತ್ರ,praticitra,tatsama<sanskrit
KW_FILTER,ಛಾಲ,chaala,tatsama<sanskrit
KW_REDUCE,ನ್ಯೂನೀಕೃ,nyuuniikr_,tatsama<sanskrit
KW_FOLD,ಸಂವೇಷ್ಟ,sa_nvee_sta,tatsama<sanskrit
KW_OBSERVE,ನಿರೀಕ್ಷ,niriik_sa,tatsama<sanskrit
KW_EMIT,ಉತ್ಸೃಜ,utsr_ja,tatsama<sanskrit
KW_SUBSCRIBE,ಅಭಿನಿವೇಶ,abhiniveesha,tatsama<sanskrit
KW_DEBOUNCE,ಸ್ಪನ್ದಶೋಧನ,spandashaudhana,tatsama<sanskrit
KW_OWN,ಸ್ವಾಮಿತ್ವ,svaamitva,tatsama<sanskrit
KW_BORROW,ಋಣ,r_na,tatsama<sanskrit
KW_MOVE,ಸ್ಥಾನಾನ್ತರ,sthaanaantara,tatsama<sanskrit
KW_MUT,ಪರಿವರ್ತ್ಯ,parivartya,tatsama<sanskrit
KW_LIFETIME,ಆಯುಷ್ಕಾಲ,aayu_skaala,tatsama<sanskrit
KW_ARENA,ಕ್ಷೇತ್ರ,k_seetra,tatsama<sanskrit
KW_GC,ಮಲಸಂಗ್ರಹ,malasa_ngraha,tatsama<sanskrit
KW_PIN_MEM,ಸ್ಮೃತಿಕೀಲಕ,smr_tikiilaka,tatsama<sanskrit
KW_REQUIRES,ಅಪೇಕ್ಷತೇ,apeek_satee,tatsama<sanskrit
KW_ENSURES,ಸುನಿಶ್ಚಯತಿ,sunishcayati,tatsama<sanskrit
KW_INVARIANT,ಅಪರಿವರ್ತ್ಯ,aparivartya,tatsama<sanskrit
KW_ASSERT,ಪ್ರತಿಜ್ಞಾ,pratijnyaa,tatsama<sanskrit
KW_ASSUME,ಅಧ್ಯವಸ್ಯತಿ,adhyavasyati,tatsama<sanskrit
KW_PROVE,ಸಾಧಯತಿ,saadhayati,tatsama<sanskrit
KW_REFINES,ಪರಿಷ್ಕರೋತಿ,pari_skarauti,tatsama<sanskrit
KW_MODEL_CHECK,ಪ್ರತಿಮಾನಪರೀಕ್ಷಾ,pratimaanapariik_saa,tatsama<sanskrit
KW_NODE,ಗ್ರನ್ಥಿ,granthi,tatsama<sanskrit
KW_REPLICA,ಪ್ರತಿಕೃತಿ,pratikr_ti,tatsama<sanskrit
KW_CONSENSUS,ಸರ್ವಸಮ್ಮತಿ,sarvasammati,tatsama<sanskrit
KW_SHARD,ಖಣ್ಡ,kha_nda,tatsama<sanskrit
KW_GOSSIP,ಜನವಾದ,janavaada,tatsama<sanskrit
KW_LEADER,ನಾಯಕ,naayaka,tatsama<sanskrit
KW_RPC,ದೂರಪ್ರಕ್ರಿಯಾ,duuraprakriyaa,tatsama<sanskrit
KW_ACTOR,ಕರ್ತೃ,kartr_,tatsama<sanskrit
KW_MESSAGE,ಸನ್ದೇಶ,sandeesha,tatsama<sanskrit
